date	lat	lon
9/11/2014 22:06	18.395	-66.143
9/12/2014 1:34	18.376	-66.191
9/12/2014 1:45	18.373	-66.062
9/12/2014 2:28	18.394	-66.186
9/12/2014 3:31	18.429	-66.065
9/12/2014 10:30	18.416	-65.97
9/12/2014 12:56	18.392	-65.877
9/12/2014 14:10	18.392	-65.877
9/12/2014 17:17	17.998	-66.61
9/12/2014 19:13	18.01	-66.602
9/12/2014 20:50	18.396	-66.086
9/12/2014 20:56	18.349	-66.093
9/12/2014 22:02	18.432	-66.037
9/12/2014 22:35	18.428	-66.012
9/12/2014 22:38	18.392	-66.167
9/12/2014 22:51	18.456	-66.066
9/12/2014 22:52	18.456	-66.066
9/13/2014 0:39	18.36	-66.043
9/13/2014 8:53	18.379	-65.992
9/13/2014 11:20	18.007	-66.613
9/13/2014 12:21	18.01	-66.617
9/13/2014 13:25	18.445	-66.175
9/13/2014 14:11	18.082	-65.843
9/13/2014 14:36	18.373	-66.062
9/13/2014 15:52	18.322	-66.159
9/13/2014 23:05	18.325	-66.17
9/13/2014 23:39	18.437	-66.172
9/14/2014 3:30	18.36	-66.044
9/14/2014 4:31	18.403	-66.023
9/14/2014 12:33	18.411	-66.124
9/14/2014 15:09	18.415	-66.191
9/14/2014 15:59	18.415	-66.191
9/14/2014 17:19	18.358	-65.825
9/14/2014 17:31	18.36	-66.044
9/14/2014 20:41	18.444	-66.172
9/14/2014 21:07	18.043	-66.531
9/14/2014 22:16	18.407	-66.098
9/14/2014 23:47	18.395	-66.143
9/14/2014 23:56	18.395	-66.143
9/14/2014 23:57	18.399	-66.09
9/14/2014 23:58	18.395	-66.143
9/14/2014 23:58	18.399	-66.09
9/15/2014 1:45	18.442	-66.216
9/15/2014 5:33	17.996	-66.609
9/15/2014 10:20	18.374	-66.11
9/15/2014 11:53	18.391	-66.113
9/15/2014 15:14	18.446	-66.169
9/15/2014 15:20	18.329	-66.05
9/15/2014 19:52	18.405	-66.045
9/15/2014 21:28	18.46	-66.738
9/15/2014 22:46	18.3	-66.085
9/15/2014 23:26	18.36	-66.043
9/15/2014 23:27	18.395	-66.143
9/15/2014 23:49	18.369	-66.041
9/15/2014 23:52	18.373	-66.054
9/16/2014 1:52	18.379	-65.992
9/16/2014 16:24	18.376	-66.182
9/16/2014 21:02	18.209	-67.119
9/16/2014 21:11	18.393	-66.006
9/16/2014 21:15	18.38	-65.802
9/16/2014 21:52	18.338	-65.664
9/16/2014 22:01	18.233	-66.047
9/17/2014 0:30	18.001	-66.609
9/17/2014 1:16	18.401	-66.109
9/17/2014 2:12	18.391	-66.114
9/17/2014 2:18	18.382	-66.094
9/17/2014 3:10	18.372	-65.974
9/17/2014 3:22	17.962	-66.113
9/17/2014 3:53	18.358	-66.139
9/17/2014 8:30	18.424	-65.972
9/17/2014 10:55	18.405	-66.102
9/17/2014 12:25	18.454	-66.075
9/17/2014 12:37	18.402	-66.048
9/17/2014 14:08	18.127	-66.5
9/17/2014 16:25	18.398	-66.068
9/17/2014 22:46	18.403	-66.005
9/18/2014 0:20	18.4	-66.054
9/18/2014 0:20	18.331	-65.861
9/18/2014 1:49	18.371	-65.956
9/18/2014 2:25	18.325	-66.171
9/18/2014 2:40	18.345	-66.145
9/18/2014 11:30	18.453	-66.091
9/18/2014 11:47	18.385	-66.102
9/18/2014 11:51	18.385	-66.103
9/18/2014 12:01	18.385	-66.102
9/18/2014 12:29	18.385	-66.105
9/18/2014 12:43	17.978	-66.602
9/18/2014 12:58	18.389	-66.103
9/18/2014 14:37	18.205	-67.143
9/18/2014 17:07	18.373	-65.941
9/18/2014 17:44	18.39	-66.155
9/18/2014 18:16	18.379	-66.686
9/18/2014 19:28	18.41	-65.957
9/19/2014 0:44	18.118	-66.148
9/19/2014 0:53	18.119	-66.171
9/19/2014 1:30	17.993	-66.643
9/19/2014 1:30	17.993	-66.643
9/19/2014 3:19	18.401	-66.233
9/19/2014 6:19	18.323	-65.656
9/19/2014 8:03	18.236	-66.027
9/19/2014 10:54	17.965	-66.403
9/19/2014 12:59	18.373	-66.062
9/19/2014 13:51	18.387	-66.119
9/19/2014 15:09	18.444	-66.068
9/19/2014 15:35	17.993	-66.643
9/19/2014 15:56	18.431	-66.016
9/19/2014 16:03	18.383	-66.109
9/19/2014 19:23	17.988	-66.669
9/19/2014 21:11	18.431	-66.016
9/19/2014 23:14	18.372	-66.218
9/20/2014 2:02	18.345	-66.145
9/20/2014 2:11	18.387	-66.006
9/20/2014 3:12	18.395	-66.143
9/20/2014 13:55	18.443	-66.075
9/20/2014 14:15	18.397	-66.126
9/20/2014 14:42	18.373	-66.062
9/20/2014 15:40	18.357	-66.051
9/20/2014 16:38	18.386	-66.199
9/20/2014 17:24	18.383	-66.078
9/21/2014 1:42	18.383	-66.078
9/21/2014 5:59	18.404	-66.153
9/21/2014 6:04	18.345	-66.145
9/21/2014 6:39	18.224	-66.131
9/21/2014 14:54	18.368	-66.057
9/21/2014 15:54	18.376	-65.898
9/21/2014 16:03	18.02	-66.846
9/21/2014 18:03	17.962	-66.16
9/21/2014 19:31	18.399	-66.124
9/21/2014 23:29	18.399	-66.122
9/22/2014 0:14	17.962	-66.16
9/22/2014 0:55	18.043	-66.577
9/22/2014 1:03	18.373	-66.104
9/22/2014 1:11	18.357	-66.113
9/22/2014 2:13	18.352	-66.028
9/22/2014 2:44	18.336	-66.093
9/22/2014 2:46	18.333	-66.029
9/22/2014 10:27	18.409	-66.069
9/22/2014 12:57	18.398	-65.994
9/22/2014 14:15	18.404	-66.055
9/22/2014 15:26	18.37	-66.144
9/22/2014 18:48	18.413	-65.984
9/22/2014 19:31	18.384	-66.212
9/22/2014 19:41	18.252	-66.042
9/22/2014 20:03	18.349	-66.093
9/22/2014 20:08	18.252	-66.042
9/22/2014 21:03	18.438	-66.132
9/22/2014 21:31	18.419	-66.143
9/22/2014 21:39	18.398	-66.139
9/22/2014 22:56	18.372	-66.219
9/22/2014 23:12	18.4	-65.98
9/22/2014 23:34	18.395	-66.143
9/23/2014 0:16	18.368	-66.022
9/23/2014 0:25	18.373	-66.105
9/23/2014 1:08	18.043	-65.866
9/23/2014 3:04	18.411	-66.062
9/23/2014 3:05	18.373	-66.106
9/23/2014 3:13	18.383	-66.078
9/23/2014 11:48	18.424	-66.063
9/23/2014 12:28	18.414	-65.985
9/23/2014 13:48	18.353	-66.103
9/23/2014 14:40	18.4	-66.125
9/23/2014 16:37	18.001	-66.614
9/23/2014 20:37	18.033	-66.629
9/23/2014 20:37	18.145	-65.853
9/23/2014 21:05	18.4	-66.125
9/23/2014 22:24	18.394	-65.929
9/23/2014 23:09	18.355	-65.997
9/24/2014 1:15	18.485	-66.571
9/24/2014 2:06	18.479	-66.349
9/24/2014 2:27	18.451	-66.175
9/24/2014 3:19	17.979	-66.225
9/24/2014 4:56	18.401	-66.233
9/24/2014 5:00	18.401	-66.233
9/24/2014 5:44	18.367	-66.199
9/24/2014 13:23	18.182	-66.311
9/24/2014 15:05	18.408	-66.053
9/24/2014 15:13	18.218	-66.031
9/24/2014 15:39	18.15	-65.82
9/24/2014 18:20	18.388	-66.158
9/24/2014 18:20	18.386	-66.177
9/24/2014 18:39	18.388	-66.137
9/24/2014 20:42	18.357	-66.449
9/24/2014 21:42	18.436	-66.055
9/24/2014 21:53	18.415	-66.192
9/24/2014 22:37	18.241	-66.021
9/24/2014 22:39	18.224	-66.131
9/24/2014 22:53	17.962	-66.16
9/24/2014 23:09	18.379	-65.903
9/24/2014 23:27	18.417	-66.06
9/25/2014 0:16	18.377	-66.107
9/25/2014 0:21	18.241	-65.923
9/25/2014 0:21	18.387	-66.177
9/25/2014 0:23	18.45	-66.073
9/25/2014 2:06	18.096	-66.542
